time;X;Y;Z;Total
0,592811;-0,0302;0,1415;0,9276;0,939
0,595222;-0,0274;0,1422;0,9252;0,936
0,597490;-0,0270;0,1420;0,9225;0,934
0,600310;-0,0255;0,1415;0,9228;0,934
0,602107;-0,0255;0,1408;0,9198;0,931
0,604938;-0,0216;0,1408;0,9222;0,933
0,607788;-0,0241;0,1403;0,9205;0,931
0,610682;-0,0243;0,1410;0,9168;0,928
0,612764;-0,0241;0,1440;0,9188;0,930
0,614773;-0,0218;0,1405;0,9212;0,932
0,618368;-0,0206;0,1405;0,9188;0,930
0,619957;-0,0246;0,1405;0,9210;0,932
0,622551;-0,0255;0,1396;0,9225;0,933
0,625273;-0,0292;0,1366;0,9242;0,935
0,627960;-0,0326;0,1357;0,9259;0,936
0,630582;-0,0358;0,1349;0,9328;0,943
0,632838;-0,0383;0,1340;0,9347;0,945
0,635716;-0,0414;0,1333;0,9413;0,952
0,638062;-0,0481;0,1322;0,9503;0,961
0,641292;-0,0532;0,1340;0,9547;0,966
0,642663;-0,0576;0,1328;0,9594;0,970
0,645291;-0,0612;0,1305;0,9675;0,978
0,648122;-0,0626;0,1273;0,9806;0,991
0,650500;-0,0651;0,1244;0,9782;0,988
0,652536;-0,0700;0,1230;0,9867;0,997
0,655631;-0,0675;0,1195;0,9955;1,005
0,657716;-0,0673;0,1179;0,9995;1,009
0,660536;-0,0663;0,1191;1,0076;1,017
0,663609;-0,0663;0,1154;1,0104;1,019
0,666025;-0,0646;0,1144;1,0153;1,024
0,668168;-0,0703;0,1154;1,0212;1,030
0,670761;-0,0705;0,1132;1,0281;1,037
0,673299;-0,0717;0,1156;1,0258;1,035
0,675815;-0,0703;0,1168;1,0278;1,037
0,678277;-0,0654;0,1110;1,0251;1,033
0,680654;-0,0673;0,1137;1,0258;1,034
0,683239;-0,0705;0,1151;1,0261;1,035
0,691961;-0,0693;0,1142;1,0253;1,034
0,692695;-0,0710;0,1144;1,0219;1,031
0,694258;-0,0693;0,1132;1,0249;1,033
0,694546;-0,0656;0,1154;1,0249;1,033
0,696153;-0,0646;0,1159;1,0219;1,031
0,698054;-0,0663;0,1176;1,0193;1,028
0,700998;-0,0639;0,1186;1,0221;1,031
0,703588;-0,0610;0,1205;1,0214;1,030
0,710747;-0,0602;0,1186;1,0212;1,030
0,711158;-0,0563;0,1191;1,0185;1,027
0,711273;-0,0624;0,1212;1,0183;1,027
0,713450;-0,0590;0,1242;1,0163;1,026
0,716115;-0,0598;0,1281;1,0107;1,021
0,719000;-0,0621;0,1310;1,0060;1,016
0,721090;-0,0642;0,1333;0,9978;1,009
0,723605;-0,0663;0,1359;0,9948;1,006
0,725577;-0,0670;0,1369;0,9885;1,000
