dateTime,X,Y,Z
2023-02-07 15:44:40.613935,-0.39,0.82,-6.03
2023-02-07 15:44:40.622034,-0.41,0.61,-6.22
2023-02-07 15:44:40.632810,-0.50,0.42,-6.37
2023-02-07 15:44:40.644227,-0.54,0.29,-6.40
2023-02-07 15:44:40.652317,-0.48,0.23,-6.56
2023-02-07 15:44:40.664203,-0.44,0.18,-6.76
2023-02-07 15:44:40.673917,-0.39,0.23,-6.82
2023-02-07 15:44:40.681769,-0.45,0.38,-6.58
2023-02-07 15:44:40.692685,-0.51,0.54,-6.51
2023-02-07 15:44:40.703421,-0.45,0.63,-6.67
2023-02-07 15:44:40.712115,-0.33,0.68,-6.82
2023-02-07 15:44:40.725410,-0.35,0.71,-6.84
2023-02-07 15:44:40.733503,-0.37,0.77,-6.79
2023-02-07 15:44:40.744629,-0.37,0.70,-6.90
2023-02-07 15:44:40.753178,-0.25,0.59,-7.09
2023-02-07 15:44:40.764516,-0.23,0.59,-7.17
2023-02-07 15:44:40.777653,-0.21,0.57,-7.07
2023-02-07 15:44:40.782453,-0.26,0.55,-6.89
2023-02-07 15:44:40.793653,-0.29,0.59,-6.74
2023-02-07 15:44:40.801535,-0.25,0.57,-6.76
2023-02-07 15:44:40.812726,-0.26,0.50,-6.81
2023-02-07 15:44:40.823161,-0.29,0.48,-6.80
2023-02-07 15:44:40.831457,-0.46,0.54,-6.84
2023-02-07 15:44:40.842343,-0.62,0.63,-6.85
2023-02-07 15:44:40.850563,-0.76,0.70,-6.92
2023-02-07 15:44:40.861370,-0.77,0.73,-7.02
2023-02-07 15:44:40.872375,-0.83,0.65,-7.02
2023-02-07 15:44:40.880440,-0.93,0.57,-6.85
2023-02-07 15:44:40.892822,-0.95,0.53,-6.68
2023-02-07 15:44:40.902271,-0.92,0.45,-6.49
2023-02-07 15:44:40.910594,-0.91,0.39,-6.36
2023-02-07 15:44:40.921194,-0.89,0.40,-6.23
2023-02-07 15:44:40.932154,-0.96,0.45,-6.08
2023-02-07 15:44:40.940362,-1.09,0.53,-6.01
2023-02-07 15:44:40.951125,-1.23,0.62,-6.12
2023-02-07 15:44:40.959497,-1.30,0.79,-6.30
2023-02-07 15:44:40.970257,-1.35,0.91,-6.37
2023-02-07 15:44:40.980940,-1.47,1.02,-6.30
2023-02-07 15:44:40.989213,-1.60,1.17,-6.07
2023-02-07 15:44:41.000184,-1.61,1.19,-5.92
2023-02-07 15:44:41.011051,-1.47,1.11,-5.74
2023-02-07 15:44:41.019266,-1.33,1.01,-5.63
2023-02-07 15:44:41.029916,-1.26,0.89,-5.51
2023-02-07 15:44:41.038530,-1.19,0.91,-5.40
2023-02-07 15:44:41.049041,-1.15,0.96,-5.29
2023-02-07 15:44:41.059857,-1.02,1.02,-5.09
2023-02-07 15:44:41.068139,-0.86,1.04,-4.91
2023-02-07 15:44:41.078932,-0.74,1.02,-4.60
2023-02-07 15:44:41.089764,-0.58,0.87,-4.30
2023-02-07 15:44:41.098117,-0.41,0.73,-4.19
2023-02-07 15:44:41.109437,-0.30,0.62,-4.20
2023-02-07 15:44:41.117226,-0.28,0.51,-4.43
2023-02-07 15:44:41.127913,-0.32,0.44,-4.79
2023-02-07 15:44:41.139068,-0.37,0.33,-5.08
2023-02-07 15:44:41.147009,-0.37,0.16,-5.29
2023-02-07 15:44:41.158673,-0.41,0.16,-5.40
2023-02-07 15:44:41.168649,-0.44,0.25,-5.45
2023-02-07 15:44:41.177204,-0.45,0.36,-5.48
2023-02-07 15:44:41.187765,-0.49,0.50,-5.41
2023-02-07 15:44:41.196830,-0.55,0.73,-5.27
2023-02-07 15:44:41.207086,-0.54,0.87,-5.20
2023-02-07 15:44:41.218103,-0.44,0.89,-5.13
2023-02-07 15:44:41.226107,-0.28,0.84,-5.04
2023-02-07 15:44:41.236853,-0.10,0.71,-5.02
2023-02-07 15:44:41.247638,0.02,0.49,-5.16
2023-02-07 15:44:41.255913,0.08,0.35,-5.26
2023-02-07 15:44:41.266751,0.08,0.27,-5.40
2023-02-07 15:44:41.276001,0.05,0.28,-5.60
2023-02-07 15:44:41.286436,0.03,0.29,-5.83
2023-02-07 15:44:41.296509,0.11,0.18,-6.08
2023-02-07 15:44:41.304817,0.22,0.13,-6.19
2023-02-07 15:44:41.315613,0.34,-0.07,-6.31
2023-02-07 15:44:41.326565,0.46,-0.26,-6.42
2023-02-07 15:44:41.334873,0.56,-0.55,-6.50
2023-02-07 15:44:41.345510,0.64,-0.87,-6.54
2023-02-07 15:44:41.353840,0.61,-1.04,-6.51
2023-02-07 15:44:41.364694,0.55,-1.07,-6.47
2023-02-07 15:44:41.376444,0.53,-0.98,-6.47
2023-02-07 15:44:41.383770,0.42,-0.80,-6.53
2023-02-07 15:44:41.394608,0.23,-0.44,-6.56
2023-02-07 15:44:41.405412,0.05,-0.16,-6.68
2023-02-07 15:44:41.414245,-0.04,0.11,-6.78
